,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
0,0.1,1.0,1.6,4.096,0.05,13.1499,0.05071,0.00015,0.02345,2e-05,2.419,0.029,500,1.1988424968995455,0.4359410516362647
1,0.1,1.0,1.6,4.096,0.0,13.1417,0.04881,0.00011,0.02308,3e-05,2.443,0.062,500,2.537863282848956,0.43675760069674757
2,0.1,1.0,1.6,4.096,-0.3,13.0877,0.0383,0.00016,0.02075,3e-05,2.743,0.052,500,1.8957345971563984,0.44218613799917184
3,0.1,1.0,1.6,4.096,-0.6,13.0397,0.03031,8e-05,0.01869,3e-05,3.087,0.044,500,1.4253320375769354,0.4470872847010582
4,0.1,0.8,1.6,4.096,0.05,13.5313,0.08507,0.00018,0.04387,4e-05,1.231,0.007,500,0.5686433793663688,0.4001073686032183
5,0.1,0.8,1.6,4.096,0.0,13.5156,0.08191,6e-05,0.04317,3e-05,1.258,0.009,500,0.7154213036565977,0.40150330783971816
6,0.1,0.8,1.6,4.096,-0.3,13.4353,0.06583,0.00011,0.03924,2e-05,1.395,0.014,500,1.0035842293906811,0.40874552697609295
7,0.1,0.8,1.6,4.096,-0.6,13.3609,0.05326,0.00015,0.03569,3e-05,1.545,0.012,500,0.7766990291262136,0.4156119034047376
8,0.1,0.6,1.6,4.096,0.05,14.3624,0.1591,0.00032,0.09086,8e-05,0.569,0.004,500,0.7029876977152901,0.334590853285078
9,0.1,0.6,1.6,4.096,0.0,14.3289,0.15283,0.00034,0.0889,0.0001,0.58,0.005,500,0.8620689655172414,0.3369430965296876
10,0.1,0.6,1.6,4.096,-0.3,14.164,0.12217,0.00041,0.08037,9e-05,0.649,0.009,500,1.3867488443759628,0.3488489047876179
11,0.1,0.6,1.6,4.096,-0.6,14.0244,0.09892,0.00024,0.07285,7e-05,0.717,0.01,500,1.394700139470014,0.35937035433515024
12,0.1,0.5,1.6,4.096,0.05,15.3172,0.24299,0.00062,0.14592,0.00015,0.346,0.004,500,1.1560693641618498,0.27583982517461814
13,0.1,0.5,1.6,4.096,0.0,15.2643,0.23297,0.0004,0.14318,0.00017,0.352,0.002,500,0.5681818181818182,0.2787176292648415
14,0.1,0.5,1.6,4.096,-0.3,14.9693,0.18153,0.00048,0.12662,0.00014,0.398,0.005,500,1.2562814070351758,0.2955225609079305
15,0.1,0.5,1.6,4.096,-0.6,14.7379,0.14438,0.0002,0.11374,0.00012,0.446,0.002,500,0.4484304932735426,0.3096622762648398
16,0.1,1.0,1.4,2.744,0.05,11.5178,0.04027,0.0001,0.02354,2e-05,2.742,0.053,500,1.9328956965718453,0.4402765465526634
17,0.1,1.0,1.4,2.744,0.0,11.5093,0.03876,0.0001,0.02311,4e-05,2.804,0.04,500,1.4265335235378032,0.4412527436740111
18,0.1,1.0,1.4,2.744,-0.3,11.4608,0.03036,9e-05,0.02051,2e-05,3.18,0.037,500,1.1635220125786163,0.44687838496294113
19,0.1,1.0,1.4,2.744,-0.6,11.4129,0.02392,0.0001,0.01808,1e-05,3.673,0.049,500,1.3340593520283148,0.4525286857309247
20,0.1,0.8,1.4,2.744,0.05,11.8385,0.0693,8e-05,0.04428,5e-05,1.412,0.021,500,1.4872521246458925,0.40545635778263206
21,0.1,0.8,1.4,2.744,0.0,11.8231,0.0667,0.00013,0.04334,5e-05,1.427,0.011,500,0.7708479327259985,0.4070427854974757
22,0.1,0.8,1.4,2.744,-0.3,11.7461,0.05342,0.0001,0.03882,2e-05,1.63,0.008,500,0.49079754601227,0.41510032043040584
23,0.1,0.8,1.4,2.744,-0.6,11.6772,0.04309,0.00015,0.03478,3e-05,1.825,0.023,500,1.2602739726027397,0.42249151801626444
24,0.1,0.6,1.4,2.744,0.05,12.5688,0.1342,0.00038,0.09371,0.00014,0.63,0.007,500,1.1111111111111112,0.33880725651790444
25,0.1,0.6,1.4,2.744,0.0,12.5349,0.12889,0.00034,0.09152,0.0001,0.649,0.007,500,1.078582434514638,0.34156355839365665
26,0.1,0.6,1.4,2.744,-0.3,12.3673,0.10247,0.00028,0.08078,9e-05,0.739,0.005,500,0.6765899864682002,0.35563906745168755
